"mz","rt","mzmin","mzmax","rtmin","rtmax","compound_name","ChEBI","InChIKey","formula","adduct","polarity","matched_to_library","RTI","mixture"
206.078327589711,27.0862319412478,206.077787266587,206.080071291293,25.7363555269113,29.0906281508554,"(R)-adrenaline","CHEBI:28918","UCTWMZQNUQWSLP-VIFPVBQESA-N","C9H13NO3","[M+Na]+","pos",FALSE,104.139022743987,"2_3"
228.070628593937,36.9165628659308,228.070343002068,228.07110723816,32.8624613066064,43.5031687760237,"(R)-adrenaline","CHEBI:28918","UCTWMZQNUQWSLP-VIFPVBQESA-N","C9H13NO3","[M+CHO2]-","neg",FALSE,353.088232211723,"2_3"
206.103466465026,24.7088628278038,206.102751040889,206.10389904324,22.7118628277998,35.838079414135,"(R)-carnitine","CHEBI:16347","PHIQHXFUZVPYII-ZCFIWIBFSA-N","C7H15NO3","[M+CHO2]-","neg",FALSE,0,"2_4"
162.113068441135,24.3887259111738,162.110300249812,162.11323205906,20.3281259111778,41.1236280657055,"(R)-carnitine","CHEBI:16347","PHIQHXFUZVPYII-ZCFIWIBFSA-N","C7H15NO3","[M+H]+","pos",FALSE,0,"2_4"
184.072304016761,26.4191259111978,184.070809636007,184.072975630779,24.3887259111738,30.4309160447302,"(R)-carnitine","CHEBI:16347","PHIQHXFUZVPYII-ZCFIWIBFSA-N","C7H15NO3","[M+Na]+","pos",FALSE,0,"2_4"
160.060538386408,26.7058628278198,160.058591502231,160.061702054663,23.7104628278158,34.3154282401946,"(R)-carnitine","CHEBI:16347","PHIQHXFUZVPYII-ZCFIWIBFSA-N","C7H15NO3","[M-H]-","neg",FALSE,119.420551478932,"2_4"
170.080997647745,25.6297849324258,170.079052628537,170.081413708056,22.2457849324258,32.9811298156738,"(R)-noradrenaline","CHEBI:18357","SFLSHLFXELFNJZ-QMMMGPOBSA-N","C8H11NO3","[M+H]+","pos",TRUE,0,"2_9"
168.066791369722,25.8580929900452,168.06564807046,168.068324119861,22.8620929900172,40.0464346274548,"(R)-noradrenaline","CHEBI:18357","SFLSHLFXELFNJZ-QMMMGPOBSA-N","C8H11NO3","[M-H]-","neg",FALSE,0,"2_9"
133.085889608901,187.88249448327,133.084884305908,133.086289301287,185.184179831274,193.29311079147,"(S)-2-hydroxy-4-methylpentanoic acid","CHEBI:44510","LVRFTAZAXQPQHI-YFKPBYRVSA-N","C6H12O3","[M+H]+","pos",FALSE,575.57374124427,"2_10"
155.067804381659,187.88249448327,155.06747851459,155.068741436828,184.510022730153,191.262073644112,"(S)-2-hydroxy-4-methylpentanoic acid","CHEBI:44510","LVRFTAZAXQPQHI-YFKPBYRVSA-N","C6H12O3","[M+Na]+","pos",FALSE,575.57374124427,"2_10"
131.07244418623,188.0366771717,131.071315516487,131.073165481796,184.044657057277,210.857995870528,"(S)-2-hydroxy-4-methylpentanoic acid","CHEBI:44510","LVRFTAZAXQPQHI-YFKPBYRVSA-N","C6H12O3","[M-H]-","neg",TRUE,580.707964823616,"2_10"
177.074527887515,188.0366771717,177.074261027466,177.074942050321,184.544424107669,194.012247512977,"(S)-2-hydroxy-4-methylpentanoic acid","CHEBI:44510","LVRFTAZAXQPQHI-YFKPBYRVSA-N","C6H12O3","[M+CHO2]-","neg",FALSE,580.707964823616,"2_10"
103.040215103811,41.8824263107796,103.039979296342,103.0404644476,32.7246872545312,61.1840070795026,"(S)-2-hydroxybutyric acid","CHEBI:50613","AFENDNXGAFYKQO-VKHMYHEASA-N","C4H8O3","[M-H]-","neg",TRUE,395.989656645471,"2_6"
149.042842063055,42.3913481141934,149.042018335605,149.04352965618,39.3398108789774,46.4568883143128,"(S)-2-hydroxybutyric acid","CHEBI:50613","AFENDNXGAFYKQO-VKHMYHEASA-N","C4H8O3","[M+CHO2]-","neg",FALSE,400.048071847057,"2_6"
89.0244344741823,31.4176561415446,89.0239906203484,89.0248227472262,23.8602929900492,38.5236859273983,"(S)-lactic acid","CHEBI:422","JVTAAEKCZFNVCJ-REOHCLBHSA-N","C3H6O3","[M-H]-","neg",FALSE,306.80634175511,"2_9"
205.036325962663,324.088633694351,205.034845838605,205.036538036353,320.604394497252,336.53527314385,"(S)-lipoic acid","CHEBI:43796","AGBQKNBQESQNJD-ZETCQYMHSA-N","C8H14O2S2","[M-H]-","neg",TRUE,941.989319764629,"3_3"
229.032590866048,324.654861249856,229.030996863785,229.03378580575,321.95096665508,328.710531437563,"(S)-lipoic acid","CHEBI:43796","AGBQKNBQESQNJD-ZETCQYMHSA-N","C8H14O2S2","[M+Na]+","pos",FALSE,934.309265449579,"3_3"
251.04148389485,324.088633694351,251.038785087757,251.041842933669,321.600047370623,328.071386157358,"(S)-lipoic acid","CHEBI:43796","AGBQKNBQESQNJD-ZETCQYMHSA-N","C8H14O2S2","[M+CHO2]-","neg",FALSE,941.989319764629,"3_3"
207.050344978347,324.654861249856,207.04841002871,207.051368679593,321.275490615848,327.359318891343,"(S)-lipoic acid","CHEBI:43796","AGBQKNBQESQNJD-ZETCQYMHSA-N","C8H14O2S2","[M+H]+","pos",FALSE,934.309265449579,"3_3"
133.014286721574,27.7876284544946,133.013911861176,133.015266690419,25.2820596150651,55.7075996845175,"(S)-malic acid","CHEBI:30797","BJEPYKJPYRNKOW-REOHCLBHSA-N","C4H6O5","[M-H]-","neg",FALSE,205.479167234006,"2_8"
