"chrom_peak_id","mz","rt","mzmin","mzmax","rtmin","rtmax","into","target_ChEBI.name","target_ChEBI","target_InChIKey","target_formula","target_M","adduct","score","ppm_error","polarity","mixture","adduct_mz","adduct_formula","ms1_adduct_count","ms1_adduct_05_count","isopeak_count","isopeak_sim","ms2_count","ms2_matched_count","ms2_true_count","RTI","rt_regions"
"CP038856",154.070167942165,186.385274048875,154.068741336051,154.071117211244,184.593005553951,187.580103350174,1383.32123220843,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+",0.0227047941650085,147.388302936187,"pos","1_2",154.047463148,"C5H9NO3Na",3,0,0,0,0,0,0,577.246769145928,6
"CP036654",132.044639054679,54.1781039901805,132.042559359019,132.045295588568,51.8005717313672,57.149685580395,4538.61999834178,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+H]+",-0.0208800933207272,158.10404907679,"pos","1_2",132.065519148,"C5H10NO3",3,3,1,0.936891346162347,0,0,0,402.971356746056,2
"CP033639",154.072184211634,26.8504587385505,154.071740831127,154.073130247068,25.0544587385705,28.0379063844862,1645.41208957641,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+",0.0247210636342174,160.476927883368,"pos","1_2",154.047463148,"C5H9NO3Na",4,0,0,0,0,0,0,0,1
"CP036114",154.073738305309,38.1332528598518,154.072886459137,154.075781235081,35.756375683608,40.5102134687671,4787.63833927917,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+",0.0262751573091009,170.565335982568,"pos","1_2",154.047463148,"C5H9NO3Na",13,5,1,0.937901981472897,0,0,0,323.880960222671,1
"CP037618",132.042627903407,107.707101861612,132.041124040494,132.04394196969,105.920627506186,108.897048315898,1537.57327751851,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+H]+",-0.0228912445929836,173.332484820133,"pos","1_2",132.065519148,"C5H10NO3",2,2,1,0.936891346162347,3,0,0,476.894694712296,3
"CP037998",132.088593128012,107.707101861612,132.088122451314,132.088809819623,104.730044585668,110.087604385147,7441.57970601299,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+H]+",0.0230739800120432,174.71615725968,"pos","1_2",132.065519148,"C5H10NO3",2,2,1,0.936891346162347,3,0,0,476.894694712296,3
"CP403670",130.027880804907,39.0110163544995,130.026447496689,130.02904961505,37.2004293510472,40.2183740904838,1448.39746990251,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M-H]-",-0.0230863430927286,177.517657876823,"neg","1_2",130.050967148,"C5H8NO3",6,1,1,0.937901981472897,6,1,1,333.598999519587,1
"CP036332",132.090848910802,38.1332528598518,132.089458578049,132.091283428218,35.162665281822,44.6696130668463,182205.585533858,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+H]+",0.0253297628016469,191.796942646785,"pos","1_2",132.065519148,"C5H10NO3",13,1,1,0.936891346162347,6,2,2,323.880960222671,1
"CP403799",130.076494468923,38.4078307974427,130.074535775436,130.076778172298,35.3887698127411,40.8215374609737,204707.042875733,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M-H]-",0.0255273209231746,196.287051784275,"neg","1_2",130.050967148,"C5H8NO3",3,1,1,0.937901981472897,6,1,1,329.999288619,1
"CP402994",176.100578803728,31.7650937439377,176.09963153812,176.101929598541,29.9509048677848,32.9741430677161,649.96860529692,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+CHO2]-",0.0441356557278141,250.690374851615,"neg","1_2",176.056443148,"C6H10NO5",2,2,1,0.92282242615148,0,0,0,268.231470440139,1
"CP035457",154.008043018575,29.8187080476619,154.006800451812,154.00872986056,27.4435131822912,33.9742661061967,10487.7166921372,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+",-0.0394201294254799,255.89599867417,"pos","1_2",154.047463148,"C5H9NO3Na",5,0,0,0,0,0,0,226.554178382225,1
"CP037233",154.08826387162,60.7164304696798,154.086718815139,154.088672167494,57.149685580395,69.0389933774373,188373.138237245,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+",0.0408007236200092,264.858133890918,"pos","1_2",154.047463148,"C5H9NO3Na",6,2,1,0.937901981472897,6,0,0,412.000760196472,2
"CP035713",132.102035434801,34.5681870234315,132.101556750372,132.103256231698,30.4116912642185,36.3510838346569,8995.97196606445,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+H]+",0.0365162868009179,276.501292968043,"pos","1_2",132.065519148,"C5H10NO3",5,5,1,0.936891346162347,6,2,2,304.348493444124,1
