"chrom_peak_id","sample","rtmin","rtmax","into","target_ChEBI.name","target_ChEBI","target_InChIKey","target_formula","target_M","adduct","target_theo_logP","mixture","ms1_adduct_count","ms1_adduct_05_count","isopeak_count","isopeak_sim","ms2_count","ms2_matched_count","ms2_true_count","RTI","rt_regions","rtmed","mzmed","number_of_peaks"
"CP011701|CP011802|CP103081",1,23.137795913102,38.7188072973931,91848.0036471508,"homocystine","CHEBI:17485","ZTVZLYBCZNMWCF-UHFFFAOYSA-N","C8H16N2O4S2",268.055148992,"[M+Na]+|[M+H]+|[M-H]-",-2.596,"1.1",15,2,11,0.64417503464021,17,2,1,"233.178097224097|0|0",1,28.0037402942194,275.714707212404,3
"CP011623",1,19.701595913102,25.918995913118,9307.07184205548,"L-citrulline","CHEBI:16349","RHGKLRLOHDJJDR-BYPYZUCNSA-N","C6H13N3O3",175.095691276,"[M+Na]+",-3.909,"1.1",8,3,3,0.977517668708904,4,1,1,"0",1,23.848795913102,198.084979119199,1
"CP011725",1,34.4003497856829,38.7188072973931,916.183343862687,"L-citrulline","CHEBI:16349","RHGKLRLOHDJJDR-BYPYZUCNSA-N","C6H13N3O3",175.095691276,"[M+Na]+",-3.909,"1.1",4,2,1,0.92046120464824,0,0,0,"301.728081650123",2,36.5464803708595,198.055648213299,1
"CP011420",1,22.431795913106,28.8380188441886,2617.50287434804,"L-homoserine","CHEBI:15699","UKAUYVFTDYCKQA-VKHMYHEASA-N","C4H9NO3",119.058243147999,"[M+H]+",-3.598,"1.1",8,2,2,0.988025948352491,2,2,1,"0",1,24.590595913106,120.065084104063,1
"CP012025",1,100.388842431155,109.843946380147,1385.60991023916,"L-homoserine","CHEBI:15699","UKAUYVFTDYCKQA-VKHMYHEASA-N","C4H9NO3",119.058243147999,"[M+H]+",-3.598,"1.1",1,0,0,0,1,0,0,"454.758358845967",2,103.116036585498,120.075641241964,1
"CP011383|CP011558|CP011559|CP102481",1,19.701595913102,31.5695762471605,6246.63193719738,"L-lysine","CHEBI:18019","KDXKERNSBIXSRK-YFKPBYRVSA-N","C6H14N2O2",146.105527688,"[M+Na]+|[M+H]+|[M+H]+|[M-H]-",-2.949,"1.1",19,12,10,0.98415396513429,11,2,2,"0|0|165.879198750978|0",1,24.1522148481871,152.104086093445,4
"CP012075",1,99.002902309933,111.008850373651,7810.25824489442,"L-lysine","CHEBI:18019","KDXKERNSBIXSRK-YFKPBYRVSA-N","C6H14N2O2",146.105527688,"[M+H]+",-2.949,"1.1",0,0,0,0,8,0,0,"454.758358845967",2,103.116036585498,147.098058185535,1
"CP012161",1,202.445955086029,206.948515182052,876.195298359099,"L-lysine","CHEBI:18019","KDXKERNSBIXSRK-YFKPBYRVSA-N","C6H14N2O2",146.105527688,"[M+Na]+",-2.949,"1.1",1,0,0,0,1,0,0,"578.449078980592",3,204.97556448136,169.085512885665,1
"CP012174",1,220.374612287816,225.00852844673,439.295934543524,"L-lysine","CHEBI:18019","KDXKERNSBIXSRK-YFKPBYRVSA-N","C6H14N2O2",146.105527688,"[M+Na]+",-2.949,"1.1",3,0,0,0,2,0,0,"600.229116792475",4,222.414182419711,169.085364542568,1
"CP193143",1,-0.492204086877962,5.71199591310204,1375.57991445822,"L-valine","CHEBI:16414","KZSNJWFQEVHDMF-BYPYZUCNSA-N","C5H11NO2",117.078978592,"[M+Na]+",-2.169,"1.1",0,0,0,0,0,0,0,"0",1,0.0533959131020377,140.081094004904,1
"CP102803",2,26.5226487223796,32.1668016607657,2584.34833933021,"L-valine","CHEBI:16414","KZSNJWFQEVHDMF-BYPYZUCNSA-N","C5H11NO2",117.078978592,"[M-H]-",-2.169,"1.1",2,1,2,0.990463451863473,2,0,0,"172.655399266347",2,28.5355620405068,116.070864312419,1
"CP012004",1,99.6201760417269,106.56454430646,900.24518411045,"L-valine","CHEBI:16414","KZSNJWFQEVHDMF-BYPYZUCNSA-N","C5H11NO2",117.078978592,"[M+H]+",-2.169,"1.1",1,0,0,0,1,0,0,"454.758358845967",3,103.116036585498,118.072185042356,1
"CP012139",1,185.472531409006,190.249894717386,3534.63533593261,"L-valine","CHEBI:16414","KZSNJWFQEVHDMF-BYPYZUCNSA-N","C5H11NO2",117.078978592,"[M+H]+",-2.169,"1.1",2,0,1,0.939503592489177,3,1,0,"556.72704210433",4,187.492908932049,118.064255196738,1
"CP011836",1,37.2779575961463,45.4473377116586,3016.43730429679,"N-acetyl-L-cysteine","CHEBI:28939","PWKSKIMOESPYIA-BYPYZUCNSA-N","C5H9NO3S",163.030314148,"[M+Na]+",-2.299,"1.1",2,0,0,0,8,0,0,"322.951481955522",1,40.8017721320899,186.05447518816,1
"CP011895|CP011896|CP104048",1,45.6480573452226,58.4816913214542,14208.5817516114,"N-acetyl-L-cysteine","CHEBI:28939","PWKSKIMOESPYIA-BYPYZUCNSA-N","C5H9NO3S",163.030314148,"[M+H]+|[M+Na]+|[M-H]-",-2.299,"1.1",15,5,11,0.90441100022581,9,1,1,"378.321482168685|378.321482168685|367.132488088897",2,51.6302227651957,170.692763604173,3
"CP104216",2,88.6216011850765,97.9254600537998,4603.06813586981,"N-acetyl-L-cysteine","CHEBI:28939","PWKSKIMOESPYIA-BYPYZUCNSA-N","C5H9NO3S",163.030314148,"[M-H]-",-2.299,"1.1",1,1,3,0.92451499373989,6,0,0,"443.378807238543",3,92.0013094227383,162.022215830236,1
"CP011694|CP011840|CP103516|CP103517",1,26.5226487223796,45.4473377116586,51730.155882575,"N-alpha-acetyl-L-asparagine","CHEBI:139582","HXFOXFJUNFFYMO-BYPYZUCNSA-N","C6H10N2O4",174.0640568,"[M+H]+|[M+H]+|[M-H]-|[M-H]-",-4.159,"1.1",15,6,12,0.71105962040081,24,1,1,"274.029147639372|322.951481955522|252.458881039241|124.053157733704",1,34.7308541825262,174.06092965532,4
"CP012058",1,100.388842431155,109.123102385668,1985.86050823385,"N-alpha-acetyl-L-asparagine","CHEBI:139582","HXFOXFJUNFFYMO-BYPYZUCNSA-N","C6H10N2O4",174.0640568,"[M+H]+",-4.159,"1.1",2,0,0,0,3,0,0,"454.758358845967",2,103.116036585498,175.08938719621,1
"CP013009",1,472.529388057848,476.7138041439,607.657036364695,"N-alpha-acetyl-L-asparagine","CHEBI:139582","HXFOXFJUNFFYMO-BYPYZUCNSA-N","C6H10N2O4",174.0640568,"[M+H]+",-4.159,"1.1",4,0,0,0,1,0,0,"1513.07388938258",3,474.560980233267,175.111073506679,1
"CP011549|CP011714|CP011726|CP103167",1,25.345795913138,37.9695997095982,55748.8601422705,"N(6)-acetyl-L-lysine","CHEBI:17752","DTERQYGMUDWYAZ-ZETCQYMHSA-N","C8H16N2O3",188.116092372,"[M+Na]+|[M+H]+|[M+Na]+|[M-H]-",-2.673,"1.1",21,4,11,0.737734041779041,24,2,1,"0|0|284.921633885283|172.655399266347",1,29.6363746217208,199.60118697764,4
"CP012084",1,99.002902309933,112.135785079345,17521.7034893705,"N(6)-acetyl-L-lysine","CHEBI:17752","DTERQYGMUDWYAZ-ZETCQYMHSA-N","C8H16N2O3",188.116092372,"[M+Na]+",-2.673,"1.1",0,0,0,0,8,0,0,"454.758358845967",2,103.116036585498,211.131282783805,1
"CP012938",1,449.741149468749,453.68988367591,1055.6478274058,"N(6)-acetyl-L-lysine","CHEBI:17752","DTERQYGMUDWYAZ-ZETCQYMHSA-N","C8H16N2O3",188.116092372,"[M+Na]+",-2.673,"1.1",2,0,3,0.804040816901051,1,1,0,"1418.29645981022",3,451.106916391522,211.108708801566,1
"CP011857|CP104072|CP104073",1,25.0148487223436,51.9034571748236,99468.5050289199,"O(4)-phospho-L-tyrosine","CHEBI:37788","DCWXELXMIBXGTH-QMMMGPOBSA-N","C9H12NO6P",261.040223734,"[M+H]+|[M-H]-|[M-H]-",-4.138,"1.1",20,6,11,0.98479401446982,17,0,0,"305.376347112902|257.763520831936|0",1,33.6953720917303,260.70407937176,3
"CP011877",1,50.0442563790559,53.244069454416,341.528893161242,"O(4)-phospho-L-tyrosine","CHEBI:37788","DCWXELXMIBXGTH-QMMMGPOBSA-N","C9H12NO6P",261.040223734,"[M+Na]+",-4.138,"1.1",5,5,1,0.890946362063485,1,0,0,"378.321482168685",2,51.9034571748236,283.98274299239,1
"CP011853|CP011854",1,20.463595913102,38.7188072973931,23495.3526844093,"S-adenosyl-L-methionine","CHEBI:15414","MEFKEPWMEQBLKI-AIRLBKTGSA-O","C15H23N6O5S",399.145063836,"[M+H]+|[M+H]+",-3.942,"1.1",11,0,6,0.813460583291413,6,0,0,"223.059686717115|0",1,26.6501084520931,400.147135904549,2
"CP011395|CP011465|CP011555|CP011615|CP102950",1,22.431795913106,37.2754869611515,2322.23241807414,"sarcosine","CHEBI:15611","FSYKKLYZXJSNPZ-UHFFFAOYSA-N","C3H7NO2",89.047678464,"[M+H]+|[M+Na]+|[M+H]+|[M+H]+|[M+CHO2]-",-2.96,"1.1",11,2,2,0.381544444008899,8,0,0,"0|0|0|215.265325682377|224.438422423998",1,27.6363800286565,103.234706293759,5
"CP104572",2,147.972949023879,154.469770704973,1209.1413421545,"sarcosine","CHEBI:15611","FSYKKLYZXJSNPZ-UHFFFAOYSA-N","C3H7NO2",89.047678464,"[M+CHO2]-",-2.96,"1.1",1,1,2,0.978456562596248,4,2,0,"514.033899982716",2,151.114588480454,134.046309895415,1
"CP104068",2,25.7176487223716,30.0727135462018,209332.758124854,"uridine 5'-monophosphate","CHEBI:16695","DJJCXFVJDGTHFX-XVFCMESISA-N","C9H13N2O9P",324.035866626,"[M-H]-",-3.775,"1.1",9,2,4,0.985140358144403,4,1,1,"0",1,27.2234487223436,323.028287793292,1
"CP011793|CP104067",1,30.0727135462018,49.1137849568812,306183.050210549,"uridine 5'-monophosphate","CHEBI:16695","DJJCXFVJDGTHFX-XVFCMESISA-N","C9H13N2O9P",324.035866626,"[M+Na]+|[M-H]-",-3.775,"1.1",17,6,10,0.865359906909488,7,1,1,"308.825933713661|268.426549104402",2,37.9839536621893,335.026349349566,2
"CP011940|CP011948",1,82.8484347151915,96.6449187459122,9400.03532094637,"uridine 5'-monophosphate","CHEBI:16695","DJJCXFVJDGTHFX-XVFCMESISA-N","C9H13N2O9P",324.035866626,"[M+Na]+|[M+H]+",-3.775,"1.1",8,0,0,0,13,2,0,"440.735675831624|440.735675831624",3,91.1144428740123,336.042804031247,2
