"mz","rt","mzmin","mzmax","rtmin","rtmax","compound_name","ChEBI","InChIKey","formula","adduct","polarity","matched_to_library","RTI","mixture"
225.136349900313,339.061012276849,225.123446227827,225.144944869312,336.777112867661,342.256806193239,"carnosine","CHEBI:15727","CQOVPNPJLQNMDC-ZETCQYMHSA-N","C9H14N4O3","[M-H]-","neg",FALSE,1066.35070526291,"1_1"
249.137771795542,569.000928554247,249.121342679338,249.158102248248,566.488950404847,571.742932948767,"carnosine","CHEBI:15727","CQOVPNPJLQNMDC-ZETCQYMHSA-N","C9H14N4O3","[M+Na]+","pos",FALSE,0,"1_1"
227.072486402431,177.695244843408,227.045166517277,227.090275724122,175.636122074771,180.093760019447,"carnosine","CHEBI:15727","CQOVPNPJLQNMDC-ZETCQYMHSA-N","C9H14N4O3","[M+H]+","pos",FALSE,584.895053454546,"1_1"
225.052360672899,360.309677611098,225.048270005252,225.075490753036,357.11429621767,362.649592271555,"carnosine","CHEBI:15727","CQOVPNPJLQNMDC-ZETCQYMHSA-N","C9H14N4O3","[M-H]-","neg",FALSE,1151.86408749081,"1_1"
490.116075436886,22.8947458049948,490.066253662109,490.124816894531,20.8367458364348,35.8924618243486,"CDP-choline(1+)","CHEBI:49086","RZZPDXZPRHQOCG-OJAKKHQRSA-O","C14H27N4O11P2","[M+H]+","pos",FALSE,0,"1_2"
512.097014961692,22.4377456685948,512.081474201893,512.112119115857,20.6087455531748,24.4928382460887,"CDP-choline(1+)","CHEBI:49086","RZZPDXZPRHQOCG-OJAKKHQRSA-O","C14H27N4O11P2","[M+Na]+","pos",FALSE,0,"1_2"
431.27667833406,343.125845741621,431.267315785881,431.277639331812,337.63377612853,346.785101845978,"cholic acid","CHEBI:16359","BHQCQFFYRZLCQQ-OELDTZBJSA-N","C24H40O5","[M+Na]+","pos",FALSE,1069.44114589461,"3_2"
407.281312066726,339.653333643869,407.278011788902,407.287141754401,335.25144720316,343.83070741008,"cholic acid","CHEBI:16359","BHQCQFFYRZLCQQ-OELDTZBJSA-N","C24H40O5","[M-H]-","neg",FALSE,1070.65936549864,"3_2"
453.282664623678,339.653333643869,453.247714963878,453.283712807445,336.374280771292,341.935535711389,"cholic acid","CHEBI:16359","BHQCQFFYRZLCQQ-OELDTZBJSA-N","C24H40O5","[M+CHO2]-","neg",FALSE,1070.65936549864,"3_2"
215.007558011764,27.2225027724241,214.914947509766,215.018127441406,24.0367445728148,32.6886870063945,"citric acid","CHEBI:30769","KRKNYBCHXYNGOX-UHFFFAOYSA-N","C6H8O7","[M+Na]+","pos",FALSE,204.706223080672,"1_4"
347.221723096477,304.253097840176,347.070526123047,347.244232177734,299.620686679183,321.648885262951,"corticosterone","CHEBI:16827","OMFXVFTZEKFJBZ-HJTSIMOOSA-N","C21H30O4","[M+H]+","pos",TRUE,932.282716390194,"2_2"
391.213338268079,304.297614482764,391.211364226445,391.213993394801,301.130772543869,310.68750726503,"corticosterone","CHEBI:16827","OMFXVFTZEKFJBZ-HJTSIMOOSA-N","C21H30O4","[M+CHO2]-","neg",FALSE,932.85794180583,"2_2"
345.203729943545,304.069838953154,345.167438371585,345.207844479751,301.130772543869,306.579518315349,"corticosterone","CHEBI:16827","OMFXVFTZEKFJBZ-HJTSIMOOSA-N","C21H30O4","[M-H]-","neg",FALSE,932.011270836746,"2_2"
369.194996688661,304.023836235836,369.153464783738,369.202993573309,301.965426468685,306.997253574629,"corticosterone","CHEBI:16827","OMFXVFTZEKFJBZ-HJTSIMOOSA-N","C21H30O4","[M+Na]+","pos",FALSE,931.427294701819,"2_2"
361.202318252654,271.605831165359,361.201940663646,361.203284788726,267.500526117801,276.862009472273,"cortisol","CHEBI:17650","JYGXADMDTFJGBT-VWUMJDOOSA-N","C21H30O5","[M-H]-","neg",FALSE,819.106768980902,"2_4"
