"chrom_peak_id","mz","rt","mzmin","mzmax","rtmin","rtmax","into","target_ChEBI.name","target_ChEBI","target_InChIKey","target_formula","target_M","adduct","score","ppm_error","polarity","mixture","adduct_mz","adduct_formula","ms1_adduct_count","ms1_adduct_05_count","isopeak_count","isopeak_sim","ms2_count","ms2_matched_count","ms2_true_count","RTI","rt_regions"
"CP492166",176.093119664599,25.6784953171365,176.089414356676,176.096823648782,23.6832953171565,28.7001825712056,13234.3927420173,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+CHO2]-",0.036676516599158,208.322489897892,"neg","1_2",176.056443148,"C6H10NO5",2,1,1,0.92282242615148,0,0,0,0,1
"CP242297",176.017301580704,293.006070354681,176.016312950302,176.017923933214,291.516548306035,294.495674769028,862.543069829976,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+CHO2]-",-0.0391415672955588,222.323969493436,"neg","1_2",176.056443148,"C6H10NO5",0,0,0,0,0,0,0,834.027189347454,6
"CP011976",154.008607777513,29.9488253824541,154.007925277221,154.009024814075,26.6151521051409,37.2870276675368,48834.6211838671,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+",-0.0388553704872265,252.229862752732,"pos","1_2",154.047463148,"C5H9NO3Na",7,0,0,0,0,0,0,269.601659411627,1
"CP012511",132.099399493799,105.485918647234,132.097857787547,132.100046100815,103.476049960257,107.495018778177,4439.12464907685,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+H]+",0.0338803457992753,256.541949918867,"pos","1_2",132.065519148,"C5H10NO3",1,0,0,0,6,1,1,472.353531982858,3
"CP240218",176.009506709659,25.6784953171365,176.008138195319,176.013013565116,23.1842953171365,27.1811108742032,5863.47369037629,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+CHO2]-",-0.0469364383407083,266.598810594234,"neg","1_2",176.056443148,"C6H10NO5",2,1,1,0.92282242615148,0,0,0,0,1
"CP241101",130.086764970997,30.7300619312038,130.085652506786,130.087782954324,29.2073106590452,32.7589752238436,6112.31594320257,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M-H]-",0.0357978229974094,275.259952174527,"neg","1_2",130.050967148,"C5H8NO3",1,1,1,0.937901981472897,0,0,0,303.373930621274,1
"CP241292",130.08744972932,38.3403984731003,130.086244983957,130.089215616011,33.2663487891265,40.8767721530928,7782.13968577973,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M-H]-",0.0364825813197172,280.525259594567,"neg","1_2",130.050967148,"C5H8NO3",0,0,0,0,0,0,0,366.920494932368,1
"CP243456",130.001734889908,498.477248072079,130.00031760168,130.002882501481,497.478848072091,499.973648072103,798.845516015655,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M-H]-",-0.0492322580922746,378.561260803601,"neg","1_2",130.050967148,"C5H8NO3",1,0,0,0,0,0,0,0,7
"CP032129",120.065626456481,26.7047927496316,120.063822247552,120.065986831368,23.3281650209002,42.7368051578572,4135467.93440792,"(2R)-2-amino-3-methoxypropanoic acid","0","KNTFCRCCPLEUQZ-GSVOUGTGSA-N","C4H9NO3",119.058243147999,"[M+H]+",0.000107308481773316,0.893749367302048,"pos","1_5",120.065519147999,"C4H10NO3",6,1,1,0.947531305510868,3,0,0,106.557203834502,1
"CP031474",142.047283218789,25.3589650208962,142.047133760497,142.048044933004,24.0049650208762,28.0423435855676,12545.9527633021,"(2R)-2-amino-3-methoxypropanoic acid","0","KNTFCRCCPLEUQZ-GSVOUGTGSA-N","C4H9NO3",119.058243147999,"[M+Na]+",-0.000179929210105456,1.26668372752274,"pos","1_5",142.047463147999,"C4H9NO3Na",5,5,1,0.948565038720113,0,0,0,0,1
"CP262606",118.050803940089,26.3303554601474,118.050213736566,118.051029369567,23.8333554601874,30.3742805332614,55292.8997554824,"(2R)-2-amino-3-methoxypropanoic acid","0","KNTFCRCCPLEUQZ-GSVOUGTGSA-N","C4H9NO3",119.058243147999,"[M-H]-",-0.00016320790975044,1.38252073399643,"neg","1_5",118.050967147999,"C4H8NO3",2,1,1,0.948565038720113,3,0,0,0,1
"CP263130",164.042841273514,145.103178774455,164.041005412101,164.044544749031,141.070562541883,149.134242821856,2119.18229382992,"(2R)-2-amino-3-methoxypropanoic acid","0","KNTFCRCCPLEUQZ-GSVOUGTGSA-N","C4H9NO3",119.058243147999,"[M+CHO2]-",-0.0136018744853743,82.909724387379,"neg","1_5",164.056443147999,"C5H10NO5",0,0,0,0,0,0,0,527.954388123678,3
