chrom_peak_id;mzmin;mzmax;rtmin;rtmax;into;target_ChEBI.name;target_ChEBI;target_InChIKey;target_formula;target_M;adduct;mixture;ms1_adduct_count;ms1_adduct_05_count;isopeak_count;isopeak_sim;ms2_count;ms2_matched_count;ms2_true_count;RTI;rt_regions;rtmed;mzmed;number_of_peaks;
CP343562|CP100858;213.0141735;213.0152246;228.0378682;238.7778253;10636.89499;(3,4-dihydroxyphenyl)acetic acid;CHEBI:41941;CFFZDZCDUFSOFZ-UHFFFAOYSA-N;C8H8O4;168.0422587;[M+CHO2]-|[M+H]+;2_8;1;0;0;0;0;0;0;675.773164771299|652.276046180748;6;233.6981577;191.0491695;2;
CP101360;190.9913213;190.9921369;297.5429685;300.9283341;1321.379896;(3,4-dihydroxyphenyl)acetic acid;CHEBI:41941;CFFZDZCDUFSOFZ-UHFFFAOYSA-N;C8H8O4;168.0422587;[M+Na]+;2_8;2;0;0;0;0;0;0;846.3697156;7;299.5742036;190.9917987;1;FALSE
CP345635;212.9957538;212.9997498;556.4580628;558.9550628;10535.69452;(3,4-dihydroxyphenyl)acetic acid;CHEBI:41941;CFFZDZCDUFSOFZ-UHFFFAOYSA-N;C8H8O4;168.0422587;[M+CHO2]-;2_8;1;0;0;0;0;0;0;0;8;557.9560628;212.9968412;1;FALSE
CP360495;410.1493509;410.1596134;263.5488757;271.993612;5183.850266;(3S,5R)-fluvastatin;CHEBI:5136;FJLGEFLZQAZZCD-JUFISIKESA-N;C24H26FNO4;411.1845865;[M-H]-;3_1;1;0;0;0;0;0;0;756.2473445;1;267.5226723;410.1535646;1;FALSE
CP116188|CP360873|CP361062;412.1667058;412.1725741;304.8066034;319.922275;22598.44108;(3S,5R)-fluvastatin;CHEBI:5136;FJLGEFLZQAZZCD-JUFISIKESA-N;C24H26FNO4;411.1845865;[M+H]+|[M+CHO2]-|[M-H]-;3_1;2;0;0;0;0;0;0;906.840658558927|883.734835041781|914.974647219178;2;313.9153934;426.2082171;3;
CP117451|CP117343|CP498375|CP363427;412.1903598;412.1921965;390.9394397;418.4469772;5128252.315;(3S,5R)-fluvastatin;CHEBI:5136;FJLGEFLZQAZZCD-JUFISIKESA-N;C24H26FNO4;411.1845865;[M+H]+|[M+Na]+|[M+CHO2]-|[M-H]-;3_1;30;16;6;0.808018179;52;1;1;1228.68323626956|1228.68323626956|1229.77195415158|1242.28394667918;3;398.9736914;428.1818402;4;
CP363207;456.1621663;456.1725541;438.4767255;443.9854707;10315.28559;(3S,5R)-fluvastatin;CHEBI:5136;FJLGEFLZQAZZCD-JUFISIKESA-N;C24H26FNO4;411.1845865;[M+CHO2]-;3_1;3;0;0;0;9;0;0;1415.618961;4;441.4810525;456.1663643;1;FALSE
CP279271|CP279873;236.0961923;236.0986482;22.91767724;28.93303598;21049.11201;(5-hydroxyindol-3-yl)acetic acid;CHEBI:27823;DUUGKQCEGZLZNO-UHFFFAOYSA-N;C10H9NO3;191.0582431;[M+CHO2]-|[M-H]-;2_10;2;0;0;0;0;0;0;0|0;1;24.91457724;213.05187;2;
CP047237|CP280697;214.0152751;214.0166624;67.83060964;82.01663431;17035.78084;(5-hydroxyindol-3-yl)acetic acid;CHEBI:27823;DUUGKQCEGZLZNO-UHFFFAOYSA-N;C10H9NO3;191.0582431;[M+Na]+|[M+CHO2]-;2_10;2;0;0;0;0;0;0;437.027371347788|433.646343365358;2;72.33120147;225.010579;2;
CP047426;214.0518373;214.0554869;122.9185499;128.9593154;3210.158566;(5-hydroxyindol-3-yl)acetic acid;CHEBI:27823;DUUGKQCEGZLZNO-UHFFFAOYSA-N;C10H9NO3;191.0582431;[M+Na]+;2_10;0;0;0;0;6;0;0;496.2287519;3;125.6032433;214.0538451;1;FALSE
CP281684|CP281652|CP047705|CP047933;190.0509575;190.0512778;162.0035893;186.5404024;2718499.653;(5-hydroxyindol-3-yl)acetic acid;CHEBI:27823;DUUGKQCEGZLZNO-UHFFFAOYSA-N;C10H9NO3;191.0582431;[M-H]-|[M+CHO2]-|[M+Na]+|[M+H]+;2_10;28;8;4;0.885411165;60;3;1;556.738242317969|556.738242317969|552.363697597329|552.363697597329;4;169.1340614;208.0552229;4;
CP282054;236.0948574;236.0967323;218.747978;225.1523536;18348.58675;(5-hydroxyindol-3-yl)acetic acid;CHEBI:27823;DUUGKQCEGZLZNO-UHFFFAOYSA-N;C10H9NO3;191.0582431;[M+CHO2]-;2_10;0;0;0;0;9;0;0;642.8885809;5;222.6888917;236.0962059;1;FALSE
CP048655|CP282303;214.0149227;214.0176125;267.7714858;282.2168787;19817.93419;(5-hydroxyindol-3-yl)acetic acid;CHEBI:27823;DUUGKQCEGZLZNO-UHFFFAOYSA-N;C10H9NO3;191.0582431;[M+Na]+|[M+CHO2]-;2_10;3;0;0;0;0;0;0;756.578703695117|769.634137369719;6;271.3810164;225.0559551;2;
CP283250;190.0151289;190.0172292;419.9487734;432.4669741;33099.67458;(5-hydroxyindol-3-yl)acetic acid;CHEBI:27823;DUUGKQCEGZLZNO-UHFFFAOYSA-N;C10H9NO3;191.0582431;[M-H]-;2_10;2;0;0;0;0;0;0;1344.908212;7;424.4557022;190.0156722;1;FALSE
CP284863;190.0145866;190.0166825;639.3421283;656.8171283;83796.3577;(5-hydroxyindol-3-yl)acetic acid;CHEBI:27823;DUUGKQCEGZLZNO-UHFFFAOYSA-N;C10H9NO3;191.0582431;[M-H]-;2_10;0;0;0;0;0;0;0;0;8;648.3291283;190.0157727;1;FALSE
CP267651|CP267749;472.1460511;472.156777;23.36179605;27.86574577;12970.36476;(6S)-5-formyltetrahydrofolic acid;CHEBI:63606;VVIAGPKUTFNRDU-STQMWFEESA-N;C20H23N7O7;473.1658961;[M-H]-|[M+CHO2]-;1_6;2;0;0;0;0;0;0;0|0;1;25.10929605;495.1466413;2;
CP036742|CP493785|CP037062;496.1534916;496.1567331;144.4520292;200.859519;2318646.164;(6S)-5-formyltetrahydrofolic acid;CHEBI:63606;VVIAGPKUTFNRDU-STQMWFEESA-N;C20H23N7O7;473.1658961;[M+Na]+|[M-H]-|[M+H]+;1_6;25;7;4;0.828475269;187;3;3;553.353448054632|560.61259543473|553.353448054632;2;170.902615;480.829198;3;
CP038190;496.1797183;496.1850812;427.0141321;430.400938;1009.159651;(6S)-5-formyltetrahydrofolic acid;CHEBI:63606;VVIAGPKUTFNRDU-STQMWFEESA-N;C20H23N7O7;473.1658961;[M+Na]+;1_6;1;0;0;0;0;0;0;1350.340212;3;428.3688893;496.1820148;1;FALSE
CP130085;770.5862212;770.5931646;369.896077;373.9413063;4640.280551;(R)-1,2-distearoylphosphatidylethanolamine;CHEBI:47766;LVNGJLRDBYCPGB-LDLOPFEMSA-N;C41H82NO8P;747.5778052;[M+Na]+;3_3;2;0;0;0;0;0;0;1115.443546;1;371.9186656;770.5889936;1;FALSE
CP375048;746.5781195;746.5927134;455.5063076;459.5134651;2924.495232;(R)-1,2-distearoylphosphatidylethanolamine;CHEBI:47766;LVNGJLRDBYCPGB-LDLOPFEMSA-N;C41H82NO8P;747.5778052;[M-H]-;3_3;3;0;0;0;0;0;0;1482.496564;2;457.5102766;746.5810032;1;FALSE
CP064615|CP299151|CP299832|CP063745|CP299933|CP299934|CP298829|CP063615;184.0960266;184.0975503;18.29175553;43.50316878;810618.7286;(R)-adrenaline;CHEBI:28918;UCTWMZQNUQWSLP-VIFPVBQESA-N;C9H13NO3;183.0895433;[M+H]+|[M+CHO2]-|[M-H]-|[M+Na]+|[M+CHO2]-|[M+CHO2]-|[M-H]-|[M+H]+;2_3;33;16;5;0.55937588;26;3;3;153.766302706394|129.808215982794|129.808215982794|104.139022743987|353.088232211723|277.411587769511|0|0;1;27.61645465;202.8231587;8;
CP300901;228.0849627;228.0892739;107.6748067;114.2312515;5552.043866;(R)-adrenaline;CHEBI:28918;UCTWMZQNUQWSLP-VIFPVBQESA-N;C9H13NO3;183.0895433;[M+CHO2]-;2_3;1;1;1;0.88427927;0;0;0;484.8152268;2;110.1968027;228.0874454;1;FALSE
