"chrom_peak_id","sample","mz","rt","rtmin","rtmax","into","target_ChEBI.name","target_ChEBI","target_InChIKey","target_formula","target_M","adduct","score","ppm_error","polarity","mixture","adduct_mz","adduct_formula","ms1_adduct_count","ms1_adduct_05_count","isopeak_count","isopeak_sim","ms2_count","ms2_matched_count","ms2_true_count","RTI","rt_regions"
"CP103676",2,187.108281273061,28.5531829901886,26.5403944569309,37.2921385521451,141315.290023998,"N(6)-acetyl-L-lysine","CHEBI:17752","DTERQYGMUDWYAZ-ZETCQYMHSA-N","C8H16N2O3",188.116092372,"[M-H]-",-0.000535098938769352,2.85982750115578,"neg","1.1",187.108816372,"C8H15N2O3",4,1,4,0.986800390455524,9,0,0,173.886342310793,1
"CP011941",1,262.047249851742,37.2881004503456,30.8790123244368,51.9126082100621,22625.4039899045,"O(4)-phospho-L-tyrosine","CHEBI:37788","DCWXELXMIBXGTH-QMMMGPOBSA-N","C9H12NO6P",261.040223734,"[M+H]+",-0.000249882257833178,0.953576195486809,"pos","1.1",262.047499734,"C9H13NO6P",7,2,4,0.986196640572491,3,0,0,305.426934914395,1
"CP011961",1,283.98274299239,51.9126082100621,50.0535475541646,53.2531170479753,341.528893161242,"O(4)-phospho-L-tyrosine","CHEBI:37788","DCWXELXMIBXGTH-QMMMGPOBSA-N","C9H12NO6P",261.040223734,"[M+Na]+",-0.0467007416098681,164.422184530997,"pos","1.1",284.029443734,"C9H12NO6PNa",4,0,0,0,1,0,0,378.367123242194,2
"CP104585",2,260.032601261011,36.6014392028961,30.0901655869939,47.805878855527,202010.727295731,"O(4)-phospho-L-tyrosine","CHEBI:37788","DCWXELXMIBXGTH-QMMMGPOBSA-N","C9H12NO6P",261.040223734,"[M-H]-",-0.000346472988780988,1.33241957144374,"neg","1.1",260.032947734,"C9H11NO6P",5,2,4,0.989366975716668,9,0,0,257.889712626422,1
"CP104586",2,260.032387002526,27.2411944568949,25.0325944568949,30.0901655869939,73769.3838011247,"O(4)-phospho-L-tyrosine","CHEBI:37788","DCWXELXMIBXGTH-QMMMGPOBSA-N","C9H12NO6P",261.040223734,"[M-H]-",-0.000560731473512988,2.15638625181677,"neg","1.1",260.032947734,"C9H11NO6P",6,2,4,0.989314253922802,5,0,0,0,1
"CP011937",1,400.147148956336,30.8790123244368,27.4382284151879,38.7288540146065,39963.7979171593,"S-adenosyl-L-methionine","CHEBI:15414","MEFKEPWMEQBLKI-AIRLBKTGSA-O","C15H23N6O5S",399.145063836,"[M+H]+",-0.00519087966358711,12.9722586795683,"pos","1.1",400.152339836,"C15H24N6O5S",2,0,3,0.804228006686667,2,0,0,223.212530837999,1
"CP011938",1,400.147122852762,22.4426284151519,20.4744284151479,27.4382284151879,7026.90745165918,"S-adenosyl-L-methionine","CHEBI:15414","MEFKEPWMEQBLKI-AIRLBKTGSA-O","C15H23N6O5S",399.145063836,"[M+H]+",-0.00521698323831288,13.0374927720053,"pos","1.1",400.152339836,"C15H24N6O5S",4,0,3,0.82213383522502,4,0,0,0,1
"CP011479",1,90.0536487035804,23.8596284151479,22.4426284151519,25.9298284151639,1160.05317955071,"sarcosine","CHEBI:15611","FSYKKLYZXJSNPZ-UHFFFAOYSA-N","C3H7NO2",89.047678464,"[M+H]+",-0.00130576041955521,14.4995955783554,"pos","1.1",90.054954464,"C3H8NO2",3,1,1,0.96134390942429,0,0,0,0,1
"CP011549",1,112.031819454648,25.9298284151639,23.8596284151479,28.8487509453493,2436.69677972547,"sarcosine","CHEBI:15611","FSYKKLYZXJSNPZ-UHFFFAOYSA-N","C3H7NO2",89.047678464,"[M+Na]+",-0.00507900935195948,45.3333626831118,"pos","1.1",112.036898464,"C3H7NO2Na",0,0,0,0,2,0,0,0,1
"CP011639",1,90.0361720780814,25.9298284151639,23.1486284151479,28.8487509453493,5543.26550841038,"sarcosine","CHEBI:15611","FSYKKLYZXJSNPZ-UHFFFAOYSA-N","C3H7NO2",89.047678464,"[M+H]+",-0.0187823859185698,208.565825504672,"pos","1.1",90.054954464,"C3H8NO2",0,0,0,0,3,0,0,0,1
"CP011699",1,90.0053601582595,30.3389382740956,28.1372670876281,33.5987051432036,1715.81648464907,"sarcosine","CHEBI:15611","FSYKKLYZXJSNPZ-UHFFFAOYSA-N","C3H7NO2",89.047678464,"[M+H]+",-0.0495943057404844,550.711574234486,"pos","1.1",90.054954464,"C3H8NO2",1,0,0,0,3,0,0,215.418692172266,1
"CP103457",2,134.046531074226,32.1840236659563,29.2651666200674,37.2921385521451,755.330138035058,"sarcosine","CHEBI:15611","FSYKKLYZXJSNPZ-UHFFFAOYSA-N","C3H7NO2",89.047678464,"[M+CHO2]-",0.000652610226183015,4.868558687974,"neg","1.1",134.045878464,"C4H8NO4",1,1,1,0.946378310620207,0,0,0,224.568331190616,1
"CP105087",2,134.046309895415,151.119575789453,147.978221225519,154.474445463073,1209.1413421545,"sarcosine","CHEBI:15611","FSYKKLYZXJSNPZ-UHFFFAOYSA-N","C3H7NO2",89.047678464,"[M+CHO2]-",0.000431431415108818,3.21853547496192,"neg","1.1",134.045878464,"C4H8NO4",1,1,2,0.978456562596248,4,2,0,514.040043842624,2
"CP011877",1,347.024173523678,37.9796958131037,35.7023841363327,40.1046692358479,3002.01168675059,"uridine 5'-monophosphate","CHEBI:16695","DJJCXFVJDGTHFX-XVFCMESISA-N","C9H13N2O9P",324.035866626,"[M+Na]+",-0.000913102321646875,2.63122856772299,"pos","1.1",347.025086626,"C9H13N2O9PNa",8,4,5,0.788069038779962,1,0,0,308.876288344611,2
"CP012023",1,347.033464815212,91.1209835728607,86.011498460742,95.4541747633099,4332.78414048739,"uridine 5'-monophosphate","CHEBI:16695","DJJCXFVJDGTHFX-XVFCMESISA-N","C9H13N2O9P",324.035866626,"[M+Na]+",0.00837818921240796,24.1428920711931,"pos","1.1",347.025086626,"C9H13N2O9PNa",3,0,0,0,5,1,0,440.743317995561,3
"CP012031",1,325.052143247282,91.1209835728607,82.8555220150393,96.6510940467038,14467.2865014053,"uridine 5'-monophosphate","CHEBI:16695","DJJCXFVJDGTHFX-XVFCMESISA-N","C9H13N2O9P",324.035866626,"[M+H]+",0.00900062128170021,27.6905435044248,"pos","1.1",325.043142626,"C9H14N2O9P",3,0,0,0,8,1,0,440.743317995561,3
"CP104580",2,323.028525175453,38.0148778454765,30.0901655869939,49.1291097909834,609364.088734348,"uridine 5'-monophosphate","CHEBI:16695","DJJCXFVJDGTHFX-XVFCMESISA-N","C9H13N2O9P",324.035866626,"[M-H]-",-6.54505471970879e-05,0.202615338383054,"neg","1.1",323.028590626,"C9H12N2O9P",6,2,4,0.985286249343762,6,1,1,268.551541415605,2
"CP104581",2,323.028287793292,27.2411944568949,25.7353944569229,30.0901655869939,209332.758124854,"uridine 5'-monophosphate","CHEBI:16695","DJJCXFVJDGTHFX-XVFCMESISA-N","C9H13N2O9P",324.035866626,"[M-H]-",-0.000302832707973266,0.937479581563985,"neg","1.1",323.028590626,"C9H12N2O9P",9,2,4,0.985140358144403,4,1,1,0,1
