"chrom_peak_id","sample","mz","rt","rtmin","rtmax","into","target_ChEBI.name","target_ChEBI","target_InChIKey","target_formula","target_M","adduct","score","ppm_error","polarity","mixture","adduct_mz","adduct_formula","ms1_adduct_count","ms1_adduct_05_count","isopeak_count","isopeak_sim","ms2_count","ms2_matched_count","ms2_true_count","RTI","rt_regions"
"CP011857",1,484.010704238477,37.2881004503456,35.1654299441004,39.453670242242,996.587903860885,"CTP","CHEBI:17677","PCDQPRRSZKQHHS-XVFCMESISA-N","C9H16N3O14P3",482.984512082,"[M+H]+",0.018916156477303,39.0836310513975,"pos","1.1",483.991788082,"C9H17N3O14P3",7,0,0,0,0,0,0,305.426934914395,1
"CP105291",2,481.977990558175,38.6997886664875,34.4490635852614,57.2791378290401,249843.768236525,"CTP","CHEBI:17677","PCDQPRRSZKQHHS-XVFCMESISA-N","C9H16N3O14P3",482.984512082,"[M-H]-",0.000754476174563479,1.56537719643489,"neg","1.1",481.977236082,"C9H15N3O14P3",3,1,5,0.977366923718696,3,0,0,273.71795026385,1
"CP011473",1,126.054202527992,23.8596284151479,21.7738284151559,25.3566284151839,738.605192333004,"D-alpha-aminobutyric acid","CHEBI:28797","QWCKQJZIFLGMSD-GSVOUGTGSA-N","C4H9NO2",103.063328528,"[M+Na]+",0.00165399999188764,13.121511712397,"pos","1.1",126.052548528,"C4H9NO2Na",3,0,2,0.98780121196897,0,0,0,0,1
"CP011825",1,330.071672932477,35.7023841363327,33.5987051432036,39.453670242242,2842.60431471012,"glutathione","CHEBI:16856","RWSXRVCMGQZWBV-WDSKDSINSA-N","C10H17N3O6S",307.083806264,"[M+Na]+",-0.00135333152320527,4.10009729823498,"pos","1.1",330.073026264,"C10H17N3O6SNa",9,4,3,0.895240965291089,2,0,0,292.818877788036,1
"CP011946",1,308.090963196051,36.5566716510517,32.9347821074787,44.1920851735287,150696.150532159,"glutathione","CHEBI:16856","RWSXRVCMGQZWBV-WDSKDSINSA-N","C10H17N3O6S",307.083806264,"[M+H]+",-0.000119067949185592,0.386469963072685,"pos","1.1",308.091082264,"C10H18N3O6S",9,1,5,0.961664737291036,8,1,1,301.778910977765,1
"CP104378",2,306.076483445511,35.1573644311856,29.2651666200674,44.2949522468429,443042.558496342,"glutathione","CHEBI:16856","RWSXRVCMGQZWBV-WDSKDSINSA-N","C10H17N3O6S",307.083806264,"[M-H]-",-4.68184887836287e-05,0.152963341368404,"neg","1.1",306.076530264,"C10H16N3O6S",4,1,5,0.961058039462051,7,0,0,246.996789855719,1
"CP011687",1,386.024964477695,29.5375042308086,28.1372670876281,32.2653472166307,1443.10135372091,"guanosine 5'-monophosphate","CHEBI:17345","RQFCJASXJCIDSX-UUOKFMHZSA-N","C10H14N5O8P",363.057999038,"[M+Na]+",-0.0222545603047593,57.647249370727,"pos","1.1",386.047219038,"C10H14N5O8PNa",3,0,0,0,0,0,0,203.853152908421,1
"CP011878",1,386.045663667377,37.9796958131037,32.9347821074787,40.1046692358479,2074.2621107774,"guanosine 5'-monophosphate","CHEBI:17345","RQFCJASXJCIDSX-UUOKFMHZSA-N","C10H14N5O8P",363.057999038,"[M+Na]+",-0.00155537062278199,4.02896471229053,"pos","1.1",386.047219038,"C10H14N5O8PNa",10,3,4,0.757386296177539,1,0,0,308.876288344611,1
"CP011958",1,364.065478654431,37.9796958131037,31.5801176994434,45.4569203203987,48925.805290334,"guanosine 5'-monophosphate","CHEBI:17345","RQFCJASXJCIDSX-UUOKFMHZSA-N","C10H14N5O8P",363.057999038,"[M+H]+",0.000203616431349474,0.55928550540345,"pos","1.1",364.065275038,"C10H15N5O8P",10,1,7,0.963122297959502,2,1,1,308.876288344611,1
"CP104997",2,362.050837698812,38.0148778454765,30.8137296657801,56.0318219035168,453949.555029134,"guanosine 5'-monophosphate","CHEBI:17345","RQFCJASXJCIDSX-UUOKFMHZSA-N","C10H14N5O8P",363.057999038,"[M-H]-",0.000114660811732392,0.316698198446513,"neg","1.1",362.050723038,"C10H13N5O8P",4,2,4,0.973234913080637,13,1,1,268.551541415605,1
"CP104998",2,362.050229377953,27.8575123061385,25.7353944569229,30.8137296657801,71786.6469604979,"guanosine 5'-monophosphate","CHEBI:17345","RQFCJASXJCIDSX-UUOKFMHZSA-N","C10H14N5O8P",363.057999038,"[M-H]-",-0.000493660046856803,1.36351073328747,"neg","1.1",362.050723038,"C10H13N5O8P",5,1,4,0.972889291269003,8,1,1,125.28901894156,1
"CP011785",1,291.034615681637,31.5801176994434,29.5375042308086,38.7288540146065,2365.29708931375,"homocystine","CHEBI:17485","ZTVZLYBCZNMWCF-UHFFFAOYSA-N","C8H16N2O4S2",268.055148992,"[M+Na]+",-0.00975331036283933,33.5114209445757,"pos","1.1",291.044368992,"C8H16N2O4S2Na",3,0,0,0,3,0,0,233.33022150843,1
"CP011886",1,269.062460236957,25.9298284151639,23.1486284151479,28.8487509453493,205495.374459942,"homocystine","CHEBI:17485","ZTVZLYBCZNMWCF-UHFFFAOYSA-N","C8H16N2O4S2",268.055148992,"[M+H]+",3.52449568481461e-05,0.130991746057422,"pos","1.1",269.062424992,"C8H17N2O4S2",6,1,5,0.96515669742467,9,1,1,0,1
"CP103590",2,267.047045718618,26.5403944569309,24.3041944568949,30.0901655869939,67683.3393921963,"homocystine","CHEBI:17485","ZTVZLYBCZNMWCF-UHFFFAOYSA-N","C8H16N2O4S2",268.055148992,"[M-H]-",-0.00082727338156019,3.09784673546144,"neg","1.1",267.047872992,"C8H15N2O4S2",4,1,5,0.967173055577754,5,0,0,0,1
"CP011707",1,198.084979119199,23.8596284151479,19.7124284151479,25.9298284151639,9307.07184205548,"L-citrulline","CHEBI:16349","RHGKLRLOHDJJDR-BYPYZUCNSA-N","C6H13N3O3",175.095691276,"[M+Na]+",6.78431987068961e-05,0.342495540270442,"pos","1.1",198.084911276,"C6H13N3O3Na",9,3,5,0.981456972204247,4,1,1,0,1
"CP011809",1,198.055648213299,36.5566716510517,34.4106880405516,38.7288540146065,916.183343862687,"L-citrulline","CHEBI:16349","RHGKLRLOHDJJDR-BYPYZUCNSA-N","C6H13N3O3",175.095691276,"[M+Na]+",-0.029263062701375,147.729892766045,"pos","1.1",198.084911276,"C6H13N3O3Na",3,1,4,0.751892190999629,0,0,0,301.778910977765,2
