"chrom_peak_id","mzmin","mzmax","rtmin","rtmax","into","target_ChEBI.name","target_ChEBI","target_InChIKey","target_formula","target_M","adduct","mixture","ms1_adduct_count","ms1_adduct_05_count","isopeak_count","isopeak_sim","ms2_count","ms2_matched_count","ms2_true_count","RTI","rt_regions","rtmed","mzmed","number_of_peaks"
"CP032065|CP118972",192.054143693349,192.054944102804,169.603067191145,176.00770084028,1574.44797295264,"(5-hydroxyindol-3-yl)acetic acid","CHEBI:27823","DUUGKQCEGZLZNO-UHFFFAOYSA-N","C10H9NO3",191.058243148,"[M+H]+|[M-H]-","2_10",2,0,0,0,5,2,1,"538.792174625226|542.323268341055",1,172.469735772144,191.047093304143,2
"CP033074",192.087736773412,192.088782976923,456.492492868011,461.159008066064,615.288054826529,"(5-hydroxyindol-3-yl)acetic acid","CHEBI:27823","DUUGKQCEGZLZNO-UHFFFAOYSA-N","C10H9NO3",191.058243148,"[M+H]+","2_10",1,0,0,0,1,0,0,"1448.53965380296",2,458.555849420886,192.088211603493,1
"CP032060",192.095240800265,192.095303911243,98.7090493108953,120.748006905207,302251.425377427,"(5-hydroxyindol-3-yl)acetic acid","CHEBI:27823","DUUGKQCEGZLZNO-UHFFFAOYSA-N","C10H9NO3",191.058243148,"[M+H]+","2_10",1,0,0,0,9,0,0,"456.564379322559",3,103.222590504359,192.095278599985,1
"CP120537",236.104156911077,236.10486045748,378.351446826404,392.584965330712,47397.1443433609,"(5-hydroxyindol-3-yl)acetic acid","CHEBI:27823","DUUGKQCEGZLZNO-UHFFFAOYSA-N","C10H9NO3",191.058243148,"[M+CHO2]-","2_10",1,0,0,0,10,0,0,"1134.30867570801",4,381.271940817815,236.104748371614,1
"CP187796",214.000634602287,214.002950466907,32.2393577557174,40.7232939693605,1642.25089973216,"(5-hydroxyindol-3-yl)acetic acid","CHEBI:27823","DUUGKQCEGZLZNO-UHFFFAOYSA-N","C10H9NO3",191.058243148,"[M+Na]+","2_10",1,0,0,0,3,0,0,"313.16761800873",5,38.5991784595305,214.001805358264,1
"CP111971|CP111622",472.158114118913,472.158964414375,177.292839729677,209.477303427995,1139030.71670498,"(6S)-5-formyltetrahydrofolic acid","CHEBI:63606","VVIAGPKUTFNRDU-STQMWFEESA-N","C20H23N7O7",473.165896075999,"[M-H]-|[M+CHO2]-","1_6",2,1,1,0.386464039766069,13,1,1,"557.853441535075|557.853441535075",1,185.867922579374,495.142330271745,2
"CP027414|CP027351",474.172728439509,474.173308594636,177.203295012001,194.19521190483,154757.091300615,"(6S)-5-formyltetrahydrofolic acid","CHEBI:63606","VVIAGPKUTFNRDU-STQMWFEESA-N","C20H23N7O7",473.165896075999,"[M+H]+|[M+Na]+","1_6",2,3,2,0.772825028374258,18,3,3,"553.96945177185|553.96945177185",2,184.037426123417,485.163649740145,2
"CP111499|CP111405",518.157894473829,518.161859998034,106.828334106045,113.193512280564,1301.13370239691,"(6S)-5-formyltetrahydrofolic acid","CHEBI:63606","VVIAGPKUTFNRDU-STQMWFEESA-N","C20H23N7O7",473.165896075999,"[M+CHO2]-|[M-H]-","1_6",2,4,2,0.76708446215731,3,0,0,"465.428632288402|466.340161102194",3,110.187633337755,495.157624429251,2
"CP111570|CP027285",472.147003091202,472.148546786146,165.363609409496,170.756987192442,1110.07493863333,"(6S)-5-formyltetrahydrofolic acid","CHEBI:63606","VVIAGPKUTFNRDU-STQMWFEESA-N","C20H23N7O7",473.165896075999,"[M-H]-|[M+H]+","1_6",2,0,0,0,3,0,0,"536.700927661943|533.465018795022",4,168.018630082895,473.154757097271,2
"CP041331",184.114044284286,184.114812410292,279.593590606521,288.70278533013,2717.09992778504,"(R)-adrenaline","CHEBI:28918","UCTWMZQNUQWSLP-VIFPVBQESA-N","C9H13NO3",183.089543276,"[M+H]+","2_3",1,0,0,0,8,0,0,"760.972698749707",1,282.361386977511,184.114550599218,1
"CP041282",206.113888477856,206.11465352606,264.254493978127,268.354796074214,3012.74550311701,"(R)-adrenaline","CHEBI:28918","UCTWMZQNUQWSLP-VIFPVBQESA-N","C9H13NO3",183.089543276,"[M+Na]+","2_3",1,0,0,0,4,0,0,"710.534708619126",2,266.245944750879,206.114436235058,1
"CP136282|CP136283",160.086119088771,160.086560698259,129.416193133728,140.452506648131,1893.84312701231,"(R)-carnitine","CHEBI:16347","PHIQHXFUZVPYII-ZCFIWIBFSA-N","C7H15NO3",161.10519334,"[M-H]-|[M-H]-","2_4",2,0,0,0,4,1,0,"493.345118847989|495.63656192061",1,134.583434425235,160.099192960111,2
"CP043301",162.10898209312,162.109795771131,103.988698276753,110.692669568032,1202.38172849777,"(R)-carnitine","CHEBI:16347","PHIQHXFUZVPYII-ZCFIWIBFSA-N","C7H15NO3",161.10519334,"[M+H]+","2_4",1,0,0,0,4,0,0,"460.139830948526",2,105.875901855664,162.109527553976,1
"CP044236",162.098433624575,162.099005485125,471.821469977138,476.506597889203,641.706971770393,"(R)-carnitine","CHEBI:16347","PHIQHXFUZVPYII-ZCFIWIBFSA-N","C7H15NO3",161.10519334,"[M+H]+","2_4",1,0,0,0,1,0,0,"1513.55812560528",3,475.211138557932,162.098907543349,1
