"mz","rt","mzmin","mzmax","rtmin","rtmax","compound_name","ChEBI","InChIKey","formula","adduct","polarity","matched_to_library","RTI","mixture"
182.082408475913,28.5811419327565,182.081656695377,182.082837535269,25.5788857692287,35.8151543238767,"(R)-adrenaline","CHEBI:28918","UCTWMZQNUQWSLP-VIFPVBQESA-N","C9H13NO3","[M-H]-","neg",TRUE,197.361667563581,"2_3"
206.079114740348,26.7354912934994,206.078369725812,206.079812014243,24.9402690713127,28.5117601166696,"(R)-adrenaline","CHEBI:28918","UCTWMZQNUQWSLP-VIFPVBQESA-N","C9H13NO3","[M+Na]+","pos",FALSE,0,"2_3"
184.097286564507,27.3269487720509,184.095318768782,184.098101223233,24.3414912934994,34.4334965388489,"(R)-adrenaline","CHEBI:28918","UCTWMZQNUQWSLP-VIFPVBQESA-N","C9H13NO3","[M+H]+","pos",TRUE,102.66907034761,"2_3"
228.101138012613,37.6226273614647,228.100035503938,228.104591402788,34.610009784265,41.2379262594147,"(R)-adrenaline","CHEBI:28918","UCTWMZQNUQWSLP-VIFPVBQESA-N","C9H13NO3","[M+CHO2]-","neg",FALSE,325.104451176885,"2_3"
184.094773529163,24.3360724001449,184.094232383219,184.098464291521,21.9420724001449,30.2821608808537,"(R)-carnitine","CHEBI:16347","PHIQHXFUZVPYII-ZCFIWIBFSA-N","C7H15NO3","[M+Na]+","pos",FALSE,0,"2_4"
162.11290918114,25.5330724001449,162.112226320808,162.113484991037,21.9420724001449,48.6509741683409,"(R)-carnitine","CHEBI:16347","PHIQHXFUZVPYII-ZCFIWIBFSA-N","C7H15NO3","[M+H]+","pos",FALSE,0,"2_4"
206.10460904034,26.1699296780146,206.103996865,206.104816826979,23.7759296780146,38.8237895671105,"(R)-carnitine","CHEBI:16347","PHIQHXFUZVPYII-ZCFIWIBFSA-N","C7H15NO3","[M+CHO2]-","neg",FALSE,0,"2_4"
160.089169754978,27.3669296780146,160.088232077673,160.0913395794,24.9729296780146,30.3826140883842,"(R)-carnitine","CHEBI:16347","PHIQHXFUZVPYII-ZCFIWIBFSA-N","C7H15NO3","[M-H]-","neg",FALSE,129.71753080878,"2_4"
168.066650394498,26.154242651834,168.065038744049,168.067217511993,23.7606870962873,32.1811399066199,"(R)-noradrenaline","CHEBI:18357","SFLSHLFXELFNJZ-QMMMGPOBSA-N","C8H11NO3","[M-H]-","neg",TRUE,0,"2_9"
170.0813659513,25.5006820231531,170.080638915846,170.08163264737,23.1071264675798,33.7977867389515,"(R)-noradrenaline","CHEBI:18357","SFLSHLFXELFNJZ-QMMMGPOBSA-N","C8H11NO3","[M+H]+","pos",FALSE,0,"2_9"
192.063351272223,24.9021264675998,192.062023555174,192.063861158713,23.1071264675798,27.8810962252348,"(R)-noradrenaline","CHEBI:18357","SFLSHLFXELFNJZ-QMMMGPOBSA-N","C8H11NO3","[M+Na]+","pos",FALSE,0,"2_9"
155.067667248996,187.15425436901,155.066402922445,155.06871002032,184.171557614427,190.139834334153,"(S)-2-hydroxy-4-methylpentanoic acid","CHEBI:44510","LVRFTAZAXQPQHI-YFKPBYRVSA-N","C6H12O3","[M+Na]+","pos",FALSE,577.880760099037,"2_10"
131.071726465215,186.639628699347,131.071326945201,131.071987901637,183.044506595492,201.0082725482,"(S)-2-hydroxy-4-methylpentanoic acid","CHEBI:44510","LVRFTAZAXQPQHI-YFKPBYRVSA-N","C6H12O3","[M-H]-","neg",TRUE,581.558905173182,"2_10"
103.040136333008,44.844595243051,103.039679177078,103.040361844416,41.8252971423593,52.6913754680614,"(S)-2-hydroxybutyric acid","CHEBI:50613","AFENDNXGAFYKQO-VKHMYHEASA-N","C4H8O3","[M-H]-","neg",TRUE,367.9672669076,"2_6"
