"chrom_peak_id","mzmin","mzmax","rtmin","rtmax","into","target_ChEBI.name","target_ChEBI","target_InChIKey","target_formula","target_M","adduct","mixture","ms1_adduct_count","ms1_adduct_05_count","isopeak_count","isopeak_sim","ms2_count","ms2_matched_count","ms2_true_count","RTI","rt_regions","rtmed","mzmed","number_of_peaks"
"CP294396",190.963539821334,190.999332996776,49.5742157038201,58.93369869358,7809.74970554802,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4",168.042258736,"[M+Na]+","2_8",5,0,0,0,0,0,0,"0",2,54.5957225496989,190.981916785884,1
"CP294665",169.031259372439,169.03946214976,62.186062442271,70.6330176068952,18033.1701978522,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4",168.042258736,"[M+H]+","2_8",1,0,0,0,0,0,0,"0",3,65.3808867829,169.033752755565,1
"CP598527|CP295089",167.033599853516,167.034959872815,89.0943128624519,103.056901222294,42921.763879149,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4",168.042258736,"[M-H]-|[M+Na]+","2_8",11,8,2,0.909467145003601,2,0,0,"476.910926098769|0",4,94.1374841894798,179.028900667661,2
"CP730423",190.986328125,191.040817260742,103.282424450164,136.207917777657,105077.409025976,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4",168.042258736,"[M+Na]+","2_8",5,1,1,0.909467145003601,7,0,0,"0",5,108.760486592178,190.996624033817,1
"CP599250|CP599358|CP295921|CP295887",167.030505983093,167.047387686029,211.145567438652,226.634996365309,21574.3517381958,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4",168.042258736,"[M-H]-|[M-H]-|[M+H]+|[M+Na]+","2_8",10,0,0,0,0,0,0,"660.143583772532|680.701076046849|663.874928801177|664.403573690907",6,217.892225412133,173.551571240916,4
"CP599485|CP296314",213.045713097158,213.073448567266,241.342015141124,248.536111097981,6615.41276080319,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4",168.042258736,"[M+CHO2]-|[M+H]+","2_8",6,0,0,0,0,0,0,"739.472968959695|742.30081860403",7,245.95682446747,191.062354408251,2
"CP297255",169.011668395996,169.051744307595,403.067390870096,408.098202374699,815.635498791842,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4",168.042258736,"[M+H]+","2_8",5,0,0,0,0,0,0,"965.947576283844",8,405.356228299463,169.030934800221,1
"CP602532|CP602533|CP297749",213.014364943118,213.028115180853,499.963139967468,529.20737560713,9255.3182573723,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4",168.042258736,"[M+CHO2]-|[M+CHO2]-|[M+H]+","2_8",7,0,0,0,3,0,0,"1766.66942985285|1846.45717290633|1438.46657269903",9,515.487482298024,198.370989144132,3
"CP602535",213.013770865241,213.031311035156,531.950285926233,542.738969935211,13761.3012266616,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4",168.042258736,"[M+CHO2]-","2_8",0,0,0,0,0,0,0,"1906.19996781292",10,537.430107424068,213.019523784003,1
"CP602537|CP602536|CP602538",213.015570587515,213.028006420514,543.880368364893,561.920139276252,9192.40377643489,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4",168.042258736,"[M+CHO2]-|[M+CHO2]-|[M+CHO2]-","2_8",3,0,0,0,5,0,0,"0|1958.53035712076|1988.43400230867",11,553.926618747454,213.020043165523,3
