"chrom_peak_id","mz","rt","mzmin","mzmax","rtmin","rtmax","into","target_ChEBI.name","target_ChEBI","target_InChIKey","target_formula","target_M","adduct","score","ppm_error","polarity","mixture","adduct_mz","adduct_formula","ms1_adduct_count","ms1_adduct_05_count","isopeak_count","isopeak_sim","ms2_count","ms2_matched_count","ms2_true_count","RTI","rt_regions"
"CP095176",130.050323116589,41.5360938639816,130.050111526161,130.050410581817,38.778490130763,46.3153796065612,18833.6615170768,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M-H]-",-0.000644031410644175,4.95214626055996,"neg","1_2",130.050967148,"C5H8NO3",1,1,1,0.937901981472897,5,0,0,252.642427511135,1
"CP013214",154.046682170129,42.2932065429117,154.046560634337,154.046863794076,40.2435113684223,44.2680463000662,1408.97676174984,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+",-0.000780977871130517,5.06972237757787,"pos","1_2",154.047463148,"C5H9NO3Na",1,1,1,0.937901981472897,3,0,0,330.922918840406,1
"CP013248",154.060463798475,63.0255116881631,154.060335182093,154.060603805056,60.363244748725,69.654750632526,8985.71007892633,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+Na]+",0.0130006504749929,84.3937979199476,"pos","1_2",154.047463148,"C5H9NO3Na",1,0,0,0,11,1,0,408.286750284435,2
"CP013362",132.079489411532,110.592221215206,132.079349094963,132.079658420741,108.59860361755,112.776792138634,442.470067724454,"(2R)-2-acetamidopropanoic acid","0","KTHDTJVBEPMMGL-GSVOUGTGSA-N","C5H9NO3",131.058243148,"[M+H]+",0.013970263532201,105.782823725132,"pos","1_2",132.065519148,"C5H10NO3",1,0,0,0,0,0,0,463.640323760172,3
"CP024843",120.064920676409,27.0003773784455,120.064546557091,120.065168712938,24.9363773784455,29.1177265514231,1113.51986250331,"(2R)-2-amino-3-methoxypropanoic acid","0","KNTFCRCCPLEUQZ-GSVOUGTGSA-N","C4H9NO3",119.058243147999,"[M+H]+",-0.00059847159003823,4.98454172592651,"pos","1_5",120.065519147999,"C4H10NO3",1,3,1,0.947531305510868,1,0,0,0,1
"CP108806",164.063942641643,221.726505998845,164.063729136401,164.064579541125,219.744994793921,225.263524616565,1286.86689239631,"(2R)-2-amino-3-methoxypropanoic acid","0","KNTFCRCCPLEUQZ-GSVOUGTGSA-N","C4H9NO3",119.058243147999,"[M+CHO2]-",0.00749949364427493,45.7128869818875,"neg","1_5",164.056443147999,"C5H10NO5",1,0,0,0,3,0,0,603.850035735263,2
"CP025091",120.075771756111,106.870241754407,120.075348499667,120.076474233053,102.802353039185,110.780927473725,1080.71591612712,"(2R)-2-amino-3-methoxypropanoic acid","0","KNTFCRCCPLEUQZ-GSVOUGTGSA-N","C4H9NO3",119.058243147999,"[M+H]+",0.010252608111827,85.3917776275897,"pos","1_5",120.065519147999,"C4H10NO3",1,0,0,0,0,0,0,460.853336963933,3
"CP157808",167.034680227903,70.224011603708,167.034542251719,167.034755985645,66.8409624058741,77.310767805565,47639.341176323,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4",168.042258736,"[M-H]-",-0.000302508097320242,1.81104635906335,"neg","2_8",167.034982736,"C8H7O4",1,1,1,0.909467145003601,6,1,1,417.715592603448,1
"CP058544",169.048852164629,71.0148599837221,169.048646900207,169.049048298257,68.5055671240315,74.7263178057108,2172.82516787718,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4",168.042258736,"[M+H]+",-0.000682571370703045,4.03770038035891,"pos","2_8",169.049534736,"C8H9O4",1,4,1,0.909467145003601,5,2,2,418.705551557318,1
"CP058538",191.029098248847,71.0148599837221,191.026564855766,191.029891243658,68.2537190511029,75.3522532691738,2055.10817942478,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4",168.042258736,"[M+Na]+",-0.00238048715291939,12.4612297861608,"pos","2_8",191.031478736,"C8H8O4Na",1,4,1,0.909467145003601,5,0,0,418.705551557318,1
"CP059167",191.000867123694,225.704569643525,191.000740580448,191.001045618398,224.383829021595,227.694149768678,480.547018481937,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4",168.042258736,"[M+Na]+",-0.0306116123064442,160.243811695289,"pos","2_8",191.031478736,"C8H8O4Na",1,0,0,0,2,0,0,609.434682803015,2
"CP059163",191.067457436565,224.383829021595,191.066905340642,191.067697648149,221.536972362905,226.394343746013,1207.48014105047,"(3,4-dihydroxyphenyl)acetic acid","CHEBI:41941","CFFZDZCDUFSOFZ-UHFFFAOYSA-N","C8H8O4",168.042258736,"[M+Na]+",0.0359787005649537,188.339119829958,"pos","2_8",191.031478736,"C8H8O4Na",1,0,0,0,1,0,0,606.220302570273,2
